Deposit(s) ,Country,Longitude,Latitude,Age_Ga,Global_Ni_metal_Mt
Monchegorsk,Russia,32.95,67.92,2.493,0.329
Noril'sk (N)–Talnakh (T),Russia,88.183,69.33,0.251,23.1288
Pechenga,Russia,29.73,69.33,1.977,4.0002
Merensky Reef,South Africa,28.5,-24.49,2.06,6.3135
Platreef,South Africa,28.9591666666667,-24.0813888888889,2.06,6.5477
Kabanga,Tanzania,30.566,-2.88,1.275,0.20124
Duluth,USA,268.75,47.83,1.099,8
Great Dyke,Zimbabwe,30.63,-17.39,2.587,5.4054
Hunter's Road,Zimbabwe,29.83,-19.16,2.7,0.21
Shangani,Zimbabwe,29.25,-19.66,2.7,0.1562
Trojan,Zimbabwe,31.33,-17.29,2.7,0.13838
Nova,Australia,123.1924,-31.8199,1.3,0.271
